====================================================================================================
Arguments =
Namespace(batch_size_train=64, batch_size_test=64, n_epochs=100, seed=1, pc_valid=0.02, lr=0.1, momentum=0.9, lr_min=0.001, lr_patience=5, lr_factor=3, savename='./logs/MINI/', gpm_thro=0.97, mixup_alpha=20, mixup_weight=0.1, weight_range=1e-11, robust_train=True, robust_epoch=100, ua_weight=0.1)
====================================================================================================
****************************************************************************************************
Task  0 (iMiniImageNet-0-[80, 84, 33, 81, 93])
****************************************************************************************************
----------------------------------------
Task ID :0 | Learning Rate : 0.1
----------------------------------------
Epoch   1 | Train: loss=1.906, acc= 28.0% | time=2714.2ms |
 Valid: loss=1.863, acc= 32.0% |
Epoch   2 | Train: loss=1.670, acc= 29.3% | time=2179.3ms |
 Valid: loss=1.665, acc= 28.0% |
Epoch   3 | Train: loss=1.411, acc= 44.3% | time=2205.3ms |
 Valid: loss=1.437, acc= 48.0% |
Epoch   4 | Train: loss=1.285, acc= 49.8% | time=2212.0ms |
 Valid: loss=1.354, acc= 52.0% |
Epoch   5 | Train: loss=1.383, acc= 42.3% | time=2210.3ms |
 Valid: loss=1.580, acc= 34.0% |
Epoch   6 | Train: loss=1.216, acc= 52.6% | time=2209.8ms |
 Valid: loss=1.360, acc= 46.0% |
Epoch   7 | Train: loss=1.192, acc= 53.6% | time=2213.1ms |
 Valid: loss=1.348, acc= 46.0% |
Epoch   8 | Train: loss=1.184, acc= 53.9% | time=2216.5ms |
 Valid: loss=1.323, acc= 48.0% |
Epoch   9 | Train: loss=1.090, acc= 57.7% | time=2163.8ms |
 Valid: loss=1.254, acc= 50.0% |
Epoch  10 | Train: loss=1.076, acc= 59.2% | time=2127.7ms |
 Valid: loss=1.257, acc= 58.0% |
Epoch  11 | Train: loss=1.072, acc= 57.8% | time=2168.3ms |
 Valid: loss=1.281, acc= 46.0% |
Epoch  12 | Train: loss=1.048, acc= 60.8% | time=2209.6ms |
 Valid: loss=1.211, acc= 50.0% |
Epoch  13 | Train: loss=1.065, acc= 57.5% | time=2213.2ms |
 Valid: loss=1.223, acc= 56.0% |
Epoch  14 | Train: loss=0.961, acc= 62.7% | time=2201.9ms |
 Valid: loss=1.215, acc= 50.0% |
Epoch  15 | Train: loss=0.960, acc= 63.6% | time=2208.4ms |
 Valid: loss=1.138, acc= 56.0% |
Epoch  16 | Train: loss=0.955, acc= 62.8% | time=2214.0ms |
 Valid: loss=1.025, acc= 60.0% |
Epoch  17 | Train: loss=0.830, acc= 70.1% | time=2215.1ms |
 Valid: loss=1.020, acc= 58.0% |
Epoch  18 | Train: loss=0.918, acc= 65.1% | time=2206.6ms |
 Valid: loss=1.187, acc= 52.0% |
Epoch  19 | Train: loss=0.935, acc= 64.2% | time=2220.7ms |
 Valid: loss=1.181, acc= 52.0% |
Epoch  20 | Train: loss=0.710, acc= 73.8% | time=2226.0ms |
 Valid: loss=0.970, acc= 66.0% |
Epoch  21 | Train: loss=0.766, acc= 69.8% | time=2221.5ms |
 Valid: loss=0.994, acc= 66.0% |
Epoch  22 | Train: loss=1.045, acc= 54.2% | time=2257.4ms |
 Valid: loss=1.507, acc= 40.0% |
Epoch  23 | Train: loss=0.647, acc= 76.7% | time=2262.6ms |
 Valid: loss=0.951, acc= 64.0% |
Epoch  24 | Train: loss=0.729, acc= 72.8% | time=2256.5ms |
 Valid: loss=1.111, acc= 64.0% |
Epoch  25 | Train: loss=0.780, acc= 69.8% | time=2271.7ms |
 Valid: loss=1.170, acc= 56.0% |
Epoch  26 | Train: loss=0.716, acc= 72.6% | time=2272.6ms |
 Valid: loss=1.096, acc= 62.0% |
Epoch  27 | Train: loss=0.531, acc= 81.0% | time=2280.4ms |
 Valid: loss=0.982, acc= 72.0% |
Epoch  28 | Train: loss=0.438, acc= 87.4% | time=2336.4ms |
 Valid: loss=0.976, acc= 62.0% |
 lr=3.3e-02
Epoch  29 | Train: loss=0.212, acc= 95.8% | time=2557.7ms |
 Valid: loss=0.974, acc= 62.0% |
